show;number;title;duration;date;year;month;weekday;host;guest;category;topic;summary;network
Game Show;92;I'm Very Epicurious;01:14:45;2018-08-08;2018;August;Wednesday;Steve Lutz;"Brian Hamilton;Chip Sudderth;Kathy Campbell;Tiff Arment;Monty Ashley;Adal Rifai";Low Definition;Low Definition XVII;It’s time once again for Low Definition, a game show featuring a panel of guests trying to guess the definitions of dumb words. In this episode we borrow a book from a Little Free Library, go to see an American movie in Italy, and try to figure out nerds.;The Incomparable
Game Show;91;A Squashed Bee Gee;01:24:46;2018-07-24;2018;July;Tuesday;Antony Johnston;"Erika Ensign;Steven Schapansky;Steve Lutz;Jason Snell;Dan Moren";UK Triv;UK Trivia IV;Cruel Brit Antony Johnston uses nostalgia-filled trivia meant for nostalgic UK players to confuse a collection of non-nostalgic North Americans.;The Incomparable
Game Show;90;Random Tolkien Table;00:46:46;2018-07-10;2018;July;Tuesday;"Dan Moren;Lex Friedman";"Shannon Sudderth;Justin Michael;Kathy Campbell;Antony Johnston;Aleen Simms;Steve Lutz";Inconceivable!;Inconceivable! Episode 21;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. It’s a nail biter this time around, as our panelists try to identify movies of the NATO alphabet, attempt to determine which items come next in mysterious sequences, and decipher mashups of movies and…stores? Shannon Sudderth, Justin Michael, and Kathy Campbell tee off against rivals Antony Johnston, Aleen Simms, and Steve Lutz. ;The Incomparable
Game Show;89;I've Studied the Bible;01:19:27;2018-06-26;2018;June;Tuesday;Tony Sindelar;"Mikah Sargent;Aleen Simms;Glenn Fleishman;Monty Ashley";Game Show;A boomtown Fiasco;Inside a clerk’s office in a hotel in the old west town of Boomtown comes a story so dramatic and confusing that it must have been made up on the spot. Join host Tony Sindelar as he guides four players through a tale of greed, betrayal, and weird old-timey accents in the improvisational game Fiasco. ;The Incomparable
Game Show;88;Pantheon of Muppets;00:53:19;2018-05-30;2018;May;Wednesday;Jason Snell;"Brian Hamilton;Dan Moren;David J. Loehr;Erika Ensign;Jean MacDonald;Tiff Arment;Mikah Sargent;Steve Lutz";Game Show;Feuding Families 2018, Part Two;We return with yet more stupid guesses about your stupid answers to our stupid questions! Two “families” of Incomparable panelists compete for glory and adulation, and also something about Cool Cat.;The Incomparable
Game Show;87;You Shall Not Pass;00:54:10;2018-05-16;2018;May;Wednesday;Jason Snell;"Glenn Fleishman;Kelly Guimont;Monty Ashley;Aleen Simms;Shannon Sudderth;Tony Sindelar;Cicero Holmes;Kathy Campbell";Game Show;Feuding Families ‘18;Based on a survey of Incomparable listeners, it’s time once again for a battle between two “families” of podcast panelists, who will attempt to guess the strange answers our listeners gave to innocuous questions! Along the way we’ll build a hamburger, discover monsters, and ponder the mysteries of Benedict Cumberbatch.(Kathy had the baby the next day. She has returned to Team Pacific Northwest.);The Incomparable
Game Show;86;Death and Ferris Wheels;01:03:02;2018-05-02;2018;May;Wednesday;Glenn Fleishman;"Antony Johnston;Dan Moren;Kathy Campbell;Lizbeth Myles;Tony Sindelar";Game Show;That’s Not Contempt, That’s the Scottish Accent;On this episode, we play the new game, You Think You Know Me, created by Ami Baio, a card game in which you win by knowing facts and beliefs of the people with whom you’re playing. If Cards Against Humanity is “a party game for horrible people,” You Think You Know Me is somewhere on the other end of the scale. This trans-Atlantic episode features notable cultural confusion, accidental personal insights, and discussions of mortality! Hilarity, as they say, ensues.;The Incomparable
Game Show;85;Always Trust Mr. Peanut;01:08:42;2018-04-18;2018;April;Wednesday;"Dan Moren;Lex Friedman";"Mikah Sargent;Alyssa Franke;Chip Sudderth;Kelly Guimont;Brian Hamilton;Lizbeth Myles";Inconceivable!;Inconceivable! Episode 20;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. Smug and acrimonious are the watchwords in this installment, as our two teams butt heads while trying to figure out the difference between medieval weaponry and dairy products, identify Star Trek movie scores, and expand some tricky abbreviations. Mikah Sargent, Alyssa Franke, and Chip Sudderth team up to take on Kelly Guimont, Brian Hamilton, and Liz Myles for bragging rights. ;The Incomparable
Game Show;84;The Three-Pack;01:39:47;2018-04-04;2018;April;Wednesday;Steve Lutz;"Anže Tomić;James Thomson;Lizbeth Myles;Brian Hamilton;Jason Snell;Monty Ashley";Low Definition;Low Definition XVI;We return to the game of strange words, stranger idioms, and the strangest mixed drinks of all time! This time we dip our toe into international waters, with three European guests who join us in being flummoxed by the English language. But it turns out that the strangest thing about Low Definition may be the listeners themselves…;The Incomparable
Game Show;83;I'm Hungry and I Like Cake;00:41:03;2018-03-21;2018;March;Wednesday;"Dan Moren;Glenn Fleishman";"K.C. Alexander;Curtis C. Chen;Alex Wells;Eric Scott Fischl;Delilah S. Dawson;Adam Rakunas";Inconceivable!;Inconceivable! Episode 19;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. Recorded in front of a live audience at Emerald City Comicon 2018! Warning: This episode contains explicit language. Two teams of all-star authors face off for our second-annual ECCC show. They’ll have to tell us the difference between everything from medieval weapons to astronomical phenomena, figure out famous books with letters missing from the end and, oh yes, we made them sing. K.C. Alexander, Curtis C. Chen, and Alex Wells take on Eric Scott Fischl, Delilah S. Dawson, and Adam Rakunas while host Dan Moren and guest scorekeeper Glenn Fleishman try to keep everyone in line. ;The Incomparable
Game Show;82;It's Meatloaf Day!;01:27:27;2018-03-07;2018;March;Wednesday;Tony Sindelar;"Aleen Simms;Justin Michael;Monty Ashley;Steve Lutz;Brian Hamilton;Dan Moren";Parsely (Action Castle);Parsely Adventures V: Z Ward;It’s a text-adventure journey into horror, as our human players enter the mental hospital in search of the truth about their sister. They’d better tell the computer to SAVE GAME every now and then. You never know what might happen…;The Incomparable
Game Show;81;The Ghost Has Spoken;01:00:14;2018-02-21;2018;February;Wednesday;Erika Ensign;"Deborah Stanish;Steven Schapansky;Chip Sudderth;Shannon Sudderth;Lizbeth Myles;Steve Lutz;Jason Snell";Random Pursuit;Random Pursuit VI;Look, not every Game Show features a bunch of us in a room in person drinking alcohol and answering trivia questions. But this episode, recorded live in Los Angeles at the Gallifrey One convention, absolutely does. The explicit box has been checked, so go to bed, Glenn’s kids, as Erika Ensign asks us trivia questions from a randomly shuffled set of cards from a dozen different Trivial Pursuit games. ;The Incomparable
Game Show;80;The Answer's Always Michael George;01:23:30;2018-02-07;2018;February;Wednesday;Antony Johnston;"Aleen Simms;Erika Ensign;Glenn Fleishman;Kathy Campbell;Jason Snell";UK Triv;UK Trivia III;And again we cross the pond to Jolly Old Blighty, where Antony Johnston will confuse and confound a collection of North Americans with questions about the United Kingdom in the 1980s. From Andrew Ridgeley’s bandmate to old BBC sitcoms, we have literally no idea what Antony is on about.;The Incomparable
Game Show;79;Yelling at Rocks;01:24:03;2018-01-24;2018;January;Wednesday;Erika Ensign;"Aleen Simms;Kathy Campbell;Marisa McClellan;Monty Ashley;Scott McNulty;Steven Schapansky";Random Pursuit;Random Pursuit V;We’re back with more random trivia from random trivia games! Now even more random, with the addition of even more editions of Trivial Pursuit!;The Incomparable
Game Show;78;There Are No Hamburgers in the Phantom Zone;01:16:58;2018-01-03;2018;January;Wednesday;"Dan Moren;Lex Friedman";"Lizbeth Myles;Tony Sindelar;Kathy Campbell;Glenn Fleishman;Aleen Simms;Jason Snell";Inconceivable!;Inconceivable! Episode 18;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. In our latest episode, our panelists are challenged to remember the dying words of memorable characters, try to figure out which heroes we are unjustly maligning, and then play a round of TV and movie mashups…with a fresh twist. Liz Myles, Tony Sindelar, and Kathy Campbell take on Glenn Fleishman, Aleen Simms, and Jason Snell while Dan Moren and Lex Friedman attempt to (mostly successfully?) keep the peace. ;The Incomparable
Game Show;77;The Low Definition Holiday Special!;01:25:34;2017-12-20;2017;December;Wednesday;Steve Lutz;"Tiff Arment;Jason Snell;Dan Moren;Brian Hamilton;Monty Ashley";Low Definition;Low Definition XV;Welcome, one and all, to the Low Definition Holiday Special! Presented for your holiday-themed entertainment: a collection of weird words, translated movie titles, search-engine autocompletes, and peculiar holiday traditions. You’ll laugh, you’ll cry, and you might even learn something about the true meaning of Christmas. But probably not.;The Incomparable
Game Show;76;Would You Like to Buy an Apple?;00:41:48;2017-12-06;2017;December;Wednesday;Monty Ashley;"Antony Johnston;Kathy Campbell;Jason Snell";Game Show;Victorian Parlour Games, The Second;Join us for our second visit to the Victorian Parlour, where we shall play more amusements and delights that would be as at home in the parlours of England as in the rail cars of America. It’s elemental, dear listener.;The Incomparable
Game Show;75;It All Boils Down to Valerie Bertinelli;00:56:52;2017-11-26;2017;November;Sunday;Glenn Fleishman;"Brian Hamilton;Dan Moren;Kathy Campbell;Monty Ashley";Game Show;Clickthrough!;If you like The Incomparable’s other Game Shows—well, this isn’t them. This is Clickthrough,  a quiz show driven by the erratic behavior of its host, Glenn Fleishman, and Wikipedia’s random article feature. It’s like reading the encyclopedia, if it were written by flat-earth conspiracy theorists. Panelists receive points for correct answers, points for interesting answers, and points for making fun of Glenn. Correct answers lead to clicking through and falling down the rabbit hole of more articles.;The Incomparable
Game Show;74;Baseballers;01:19:45;2017-11-08;2017;November;Wednesday;Erika Ensign;"Jason Snell;Glenn Fleishman;Kathy Campbell;Antony Johnston;Monty Ashley";Random Pursuit;Random Pursuit IV;Our game of random trivia returns, with players randomly assigned one of 72 different categories across 12 different boxes of Trivial Pursuit questions. From Doctor Who companions to very loosely defined Leisure questions, our contestants will truly be tested in their knowledge of random stuff.;The Incomparable
Game Show;73;Dinosaur Jousting with Pitchforks;01:21:34;2017-10-25;2017;October;Wednesday;Steve Lutz;"Tiff Arment;Jason Snell;Dan Moren;Kelly Guimont;Mikah Sargent;Monty Ashley";Low Definition;Low Definition XIV;We’re back with more Low Definition, in which your friends invent stupid definitions for stupid (but real) words. Plus we get a little literary, ponder more historical advertising, and take a visit to congress to learn how a stupid bill doesn’t become a stupid law.;The Incomparable
Game Show;72;You're Rolling Like Terrible People;01:16:22;2017-10-11;2017;October;Wednesday;Erika Ensign;"Steven Schapansky;Steve Lutz;David J. Loehr;Lizbeth Myles;Kelly Guimont";Random Pursuit;Random Pursuit III;Random Pursuit returns! In this game, players have to answer questions from random categories randomly selected across 12 different editions of Trivial Pursuit! And this time things get a little dark… and a little blue. Glenn’s kids, look away! (And all other kids, too, probably). They say sex and death make for good drama… who knew they were for good trivia contests, too?;The Incomparable
Game Show;71;The Count Of Monte Brisco County;01:09:35;2017-09-27;2017;September;Wednesday;"Dan Moren;Lex Friedman";"Kathy Campbell;Antony Johnston;Quinn Rose;Kelly Guimont;Glenn Fleishman;Lizbeth Myles";Inconceivable!;Inconceivable! Episode 17;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. The show picks up a few new voices this week, who are immediately put to the test with their knowledge of time travel movies, a round of “what doesn’t fit?”, and finally decipher some strange books trying to ride on the coattails of a popular novel. Kathy Campbell, Antony Johnston, and Quinn Rose face off against Kelly Guimont, Glenn Fleishman, and Liz Myles, while host Dan Moren and scorekeeper Lex Friedman mediate.;The Incomparable
Game Show;70;A Dog Named Bodyslam;01:08:07;2017-09-14;2017;September;Wednesday;David J. Loehr;"Monty Ashley;Kelly Guimont;Glenn Fleishman;Travis Bedard";Turns Out!;Turns Out! Excruciatingly Glenn Edition;With the fall TV season getting underway, what better time to take a look at some TV pilots that didn’t quite make it? We predict the future in the past in the form of a question, get caught swapping bodies in outer space, wrestle with the law, and get lost—again—in space. Also featuring the most Glenningest moment of Glenning, turns out.;The Incomparable
Game Show;69;Victorian Parlour Games;00:55:31;2017-08-30;2017;August;Wednesday;Monty Ashley;"Mikah Sargent;Brian Hamilton;Kathy Campbell;Allison Truj;David J. Loehr";Game Show;Monty’s Parlour of Game Delights;Ladies and gentlemen, Mr. Monty Ashley requests your presence in his parlour for a series of entertainments that are sure to delight you.;The Incomparable
Game Show;68;It's Not All Horrible Childhood Memories;01:02:45;2017-08-16;2017;August;Wednesday;"Dan Moren;Tony Sindelar";"Mikah Sargent;Lizbeth Myles;Steve Lutz;Kathy Campbell;Brian Hamilton;Erika Ensign";Inconceivable!;Inconceivable! Episode 16;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. It’s a bitter rivalry this week, as our competitors must identify fictional watering holes, attempt to suss out repeat movie roles from their portrayers, and finally try their hand at some so(u)perhero puns. Mikah Sargent, Liz Myles, and Steve Lutz take on Kathy Campbell, Brian Hamilton, and Erika Ensign, under the watchful eye of host Dan Moren and guest scorekeeper Tony Sindelar. ;The Incomparable
Game Show;67;Welcome to Engineering;01:13:01;2017-08-02;2017;August;Wednesday;Tony Sindelar;"Glenn Fleishman;Steve Lutz;Dan Moren;Brian Hamilton;Monty Ashley";Parsely (Action Castle);Parsely Adventures IV: Space Station;It’s time to play another Parsely game, in which a group of humans try to confuse a computer parser (played by a human). This time, it’s time to investigate a space station! Will it be an Action Castle success, or a Jungle Adventure disaster?;The Incomparable
Game Show;66;Low Definition: I Will See a Wrinklepuff;01:17:07;2017-07-19;2017;July;Wednesday;Steve Lutz;"Kathy Campbell;Erika Ensign;Mikah Sargent;Monty Ashley;Chip Sudderth;Dan Moren";Low Definition;Low Definition XIII;Low Definition returns with more ridiculous words, Google searches, haikus, art installations, and more.;The Incomparable
Game Show;65;The Famous Mickey;01:16:10;2017-07-06;2017;July;Thursday;Erika Ensign;"Steven Schapansky;Scott McNulty;Glenn Fleishman;Brian Hamilton;Steve Lutz";Random Pursuit;Random Pursuit II;Random Pursuit is back! Join a brand new panel of non-random players as they roll a nauseating number of sixes, learn all about Canada, and show off their barnyard animal knowledge.;The Incomparable
Game Show;64;Random Pursuit;01:11:12;2017-06-21;2017;June;Wednesday;Erika Ensign;"Steven Schapansky;David J. Loehr;Jason Snell;Dan Moren;Monty Ashley";Random Pursuit;Random trivia, delivered randomly!;A random selection of Incomparable panelists play a game of Trivial Pursuit where everything is random — not just the categories, but which of 10 different games of Trivial Pursuit the questions will come from! Who will emerge as the random trivia champion? Roll a die and find out.;The Incomparable
Game Show;63;Tales of Glenn!;00:38:52;2017-06-07;2017;June;Wednesday;Jason Snell;"David J. Loehr;Dan Moren;Glenn Fleishman;Brian Hamilton";Game Show;Tales of Glenn!;Presented to you: an experiment in storytelling. Five people, five unbelievable stories of the amazing adventures of Glenn Fleishman, who knows everyone’s cousin and has seen things you wouldn’t believe. From the shores of Hawaii to the Arctic Circle, from Florida to Scotland, we tell you some completely amazing stories of Glenn!;The Incomparable
Game Show;62;Dr. Tiff and the Electric Catfish;01:30:48;2017-05-25;2017;May;Thursday;Steve Lutz;"Glenn Fleishman;Tiff Arment;Shannon Sudderth;Dan Moren;Kathy Campbell;Chip Sudderth";Low Definition;Low Definition XII;We’re back with more ridiculous words and even more ridiculous definiitions! Plus, we venture to a place we pray Chewbacca has never been.;The Incomparable
Game Show;61;Inclined To Go For The Liquor;00:55:34;2017-05-09;2017;May;Tuesday;"Dan Moren;Lex Friedman";"Lizbeth Myles;Steve Lutz;Marisa McClellan;Antony Johnston;Brianna Wu;Jason Snell";Inconceivable!;Inconceivable! Episode 15;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. Our teams sing the body corporate as they try to identify fictional companies, then put their musical skills to the test as they play name that tune with movie scores. Finally, they roll the dice on a round of board game movie mash-ups. Host Dan Moren and scorekeeper Lex Friedman lay down the law when Liz Myles, Steve Lutz, and Marisa McClellan take on Antony Johnston, Brianna Wu, and Jason Snell in a battle for the ages. ;The Incomparable
Game Show;60;Feuding Families III: Pity Pass;00:53:56;2017-04-26;2017;April;Wednesday;Jason Snell;"Glenn Fleishman;Monty Ashley;Aleen Simms;Justin Michael;Erika Ensign;David J. Loehr";Feuding Families;We love our listeners!;Once more we return to our survey of Incomparable listeners from last summer, which allows two teams of humans to collectively feud while guessing what listeners answered to our ridiculous questions. It’s Feuding Families time! How Glenn ever won on “Jeopardy!” we’ll never know…[Edited by Steven Schapansky.];The Incomparable
Game Show;59;We Are the World;01:25:23;2017-04-12;2017;April;Wednesday;Antony Johnston;"Glenn Fleishman;Erika Ensign;Monty Ashley;Steve Lutz;Tony Sindelar";UK Triv;UK Trivia II;UK Trivia returns! Antony Johnston once again forces a bunch of North Americans to answer questions about obscure 1980s trivia that only British people should understand.;The Incomparable
Game Show;58;Low Definition XI: Lesser of Two Weevils;01:29:25;2017-03-30;2017;March;Thursday;Steve Lutz;"Kathy Campbell;Tiff Arment;Glenn Fleishman;Brian Hamilton;Chip Sudderth;Jason Snell";Low Definition;Colonies in Space!;More ridiculous definitions of ridiculous words. We also visit an unexpected man in an unexpected location, do some more Google searches, and borrow a book from a Little Free Library.;The Incomparable
Game Show;57;Spies, Pies, and Electronics;00:51:05;2017-03-23;2017;March;Thursday;Dan Moren;"Christopher Husberg;K.C. Alexander;Adam Rakunas;Juliette Capra;Curtis C. Chen;Wendy N. Wagner";Inconceivable!;Inconceivable! Episode 14;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. Recorded in front of a live audience at Emerald City Comicon 2017! Hear the audience gasp and applaud! Witness our attempts to share three microphones among seven people! Marvel at our host’s total inability to correctly use a $10 scoreboard!We’ve recruited several writers from the realms of science-fiction, fantasy, and horror to form two teams of first-time panelists. They’ll do battle with devious acronyms, attempt to find which of these things is not like the other, and try their hands at a Golden Age of Television edition of mashed-up movie plots.;The Incomparable
Game Show;56;Hug Per Point;00:35:42;2017-03-01;2017;March;Wednesday;Jason Snell;"Erika Ensign;Chip Sudderth;Deborah Stanish;Rachel Donner;John O'Connor";Game Show;Doctor Who Game of Matching II;The Game of Matching returns! Recorded live at the Gallifrey One convention in Los Angeles, our contestants try to guess the responses of three panelists, just like a game show from the 1970s, but totally different! Questions have a distinct British TV flavor, of course.;The Incomparable
Game Show;55;There Is a Sign Here;00:53:15;2017-02-15;2017;February;Wednesday;Tony Sindelar;"Jason Snell;Monty Ashley;Steve Lutz;Aleen Simms;Glenn Fleishman";Parsely (Action Castle);Parsely Adventures III: Action Castle 2;It’s time for another journey into the realm of classic text adventures mixed with painful human dynamics, as we return to the world of… Action Castle! (castle, castle, castle). Yes, that’s right, we’re playing “Action Castle 2.” Can the sequel live up to the original?;The Incomparable
Game Show;54;Low Definition: Up to the Third Knuckle;01:12:42;2017-02-01;2017;February;Wednesday;Steve Lutz;"Tiff Arment;Monty Ashley;Kathy Campbell;Glenn Fleishman;Shannon Sudderth;Chip Sudderth";Low Definition;Low Definition X;Low Definition returns with more ridiculous people, places, things, and foreign-language movie titles! Plus a shocking number of orifices.;The Incomparable
Game Show;53;Mmmoootiny!;00:49:54;2017-01-19;2017;January;Thursday;"Aleen Simms;Justin Michael";"Jason Snell;Erika Ensign;David J. Loehr;Mikah Sargent";Game Show;Introvocabulum II;It’s been a while, but we’re back with another game of Introvocabulum, the game show that’s definitely not Password. Pull up a chair and practice your Care Bear Stare in preparation for this exciting episode!;The Incomparable
Game Show;52;How Is That Starfleet?;01:18:16;2017-01-04;2017;January;Wednesday;Scott McNulty;"Lizbeth Myles;Tony Sindelar;Jason Snell;Justin Michael;David J. Loehr";Game Show;Star Trek trivia!;From hell’s heart, five players take a stab at answering “Star Trek” trivia questions from game master and Star Trek expert Scott McNulty. He tasks us, and we shall have him! Or not.;The Incomparable
Game Show;51;Yule Cat Saves the Kids;00:53:19;2016-12-21;2016;December;Wednesday;David J. Loehr;"Moisés Chiullán;Glenn Fleishman;Kelly Guimont;Andie Arthur";Turns Out!;All You Need is GÃ¤vle;Let’s see…Sondheim’s songbook, horse skulls, the ghost of Paul Lynde, why pissed on shark is not necessarily better than the pissed off kind, dinner at Sardi’s, goat erections, truly stinky cheese, the wrong Perry Mason, fountain boys, Christmas Pickles and where to stick them, the worst Deliverance adaptation, and a joke for the Rob Brydon fans? It’s beginning to look a lot like Christmas here at the Incomparable Game Show. Also, we premiere some new game show concepts, Moisés gets an explicit tag, and we find out who actually wins this round.;The Incomparable
Game Show;50;Low Definition: A Family of Clowns;01:05:33;2016-12-09;2016;December;Friday;Steve Lutz;"Glenn Fleishman;Antony Johnston;Lizbeth Myles;Jason Snell;Tiff Arment;David J. Loehr";Low Definition;Low Definition IX;It’s time once again to make up fake definitions for stupid words. This time we also dive into unexplored regions of both iTunes and the App Store. But don’t worry, listener! Steve Lutz is gunning for you.;The Incomparable
Game Show;49;We Love Our Listeners!;00:41:14;2016-11-22;2016;November;Tuesday;Jason Snell;"Aleen Simms;Dan Moren;Brian Hamilton;Erika Ensign;Steven Schapansky;Steve Lutz;Monty Ashley;David J. Loehr;Joe Rosensteel";Feuding Families;Incomparable Family Feud II!;Not a feud! No families! Nine Incomparable panelists take sides to guess your dumb answers to our dumb survey questions, live from Anaheim.;The Incomparable
Game Show;49;We Love Our Listeners!;00:41:14;2016-11-22;2016;November;Tuesday;Jason Snell;"Aleen Simms;Dan Moren;Brian Hamilton;Erika Ensign;Steven Schapansky;Steve Lutz;Monty Ashley;David J. Loehr;Joe Rosensteel";feud.jpg;Incomparable Family Feud II!;Not a feud! No families! Nine Incomparable panelists take sides to guess your dumb answers to our dumb survey questions, live from Anaheim.;The Incomparable
Game Show;48;Don't Read the Creepy Old Book;00:38:05;2016-11-09;2016;November;Wednesday;"Dan Moren;Jason Snell";"Steven Schapansky;Monty Ashley;Erika Ensign;Aleen Simms;Brian Hamilton;Steve Lutz";Inconceivable!;Inconceivable! Episode 13;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. Recorded at the Now Hear This festival in Anaheim, California, our two teams of veteran panelists face off in front of a live (if small) audience, as they attempt to recall important—if arcane—instructions from movies, solve spooooooooky mashed up monster movies, and partake in a bit of movie literary mathemagic. Host Dan Moren and scorekeeper Jason Snell oversee the proceedings while Steven Schapansky, Monty Ashley, and Erika Ensign face off against Aleen Simms, Brian Hamilton, and Steve Lutz. ;The Incomparable
Game Show;47;Low Definition: The Spooky Edition;01:09:04;2016-10-24;2016;October;Monday;Steve Lutz;"Dan Moren;Tiff Arment;Brian Hamilton;Quinn Rose;Kathy Campbell;Joe Rosensteel";Low Definition;Low Definition VIII;"When quidnuncs screeve in hempen hahas, and strange and tasteless words echo through the fjords… 
Whenever Liebig quivers where the Blattnerphone is deathly still… 
That is the time when pooks are present, pudifying their ballhooters with relish; delight.";The Incomparable
Game Show;46;Dang, I Wish We Were Physicists;00:51:11;2016-09-28;2016;September;Wednesday;"Dan Moren;Lex Friedman";"Frank Wu;Lisa Schmeiser;Steve Lutz;Marisa McClellan;Scott McNulty;Erika Ensign";Inconceivable!;Inconceivable! Episode 12;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. By your powers combined, this episode’s panelists take on a spate of trivia about the classic ’90s cartoon Captain Planet and the Planeteers, play a rousing round of What’s the Difference?, and manage to decipher a host of characters who are stranger (in fiction). Frank Wu, Lisa Schmeiser, and Steve Lutz take on Marisa McClellan, Scott McNulty, and Erika Ensign in a battle that will shake the ages, while Dan Moren and scorekeeper Lex Friedman try to keep a semblance of order.;The Incomparable
Game Show;45;The Incomparable's Ten-Foot Poll;00:43:24;2016-09-14;2016;September;Wednesday;Jason Snell;"Steve Lutz;Dan Frakes;David J. Loehr;Tony Sindelar;Dan Moren;Tiff Arment";Feuding Families;Not Family Feud!;Our panelists predict your stupid answers to our stupid questions.;The Incomparable
Game Show;44;Low Definition: The Wicker Moze;01:11:01;2016-08-30;2016;August;Tuesday;Steve Lutz;"Justin Michael;Philip Mozolak;Aleen Simms;Tiff Arment;Brian Hamilton;Jason Snell";Low Definition;Low Definition VII;We’re back with more ridiculous definitions! Moze returns from his recent victory, but has to deal with the pressure of being a champion as everyone attempts to avoid falling into his trap. Steve has a good feeling about the victory chances of several contestants who are not Moze. Effigies are built, hats are worn, little ducks are blown, and maybe Mr. Spock will even find love.;The Incomparable
Game Show;43;I Don't Know What Wapping Is;01:45:14;2016-08-16;2016;August;Tuesday;Antony Johnston;"Erika Ensign;Steven Schapansky;Monty Ashley;Scott McNulty;Shannon Sudderth";UK Triv;Trivial Pursuit UK;The tables are turned! In this episode, Antony Johnston forces a bunch of North Americans to answer questions from the UK edition of Trivial Pursuit! Bloody Americans…;The Incomparable
Game Show;42;Game Night: International Genus;01:22:54;2016-08-03;2016;August;Wednesday;Jason Snell;"Erika Ensign;Steven Schapansky;Monty Ashley;Chip Sudderth;Antony Johnston;Lizbeth Myles";Game Show;Three-Nation Trivial Pursuit;Representatives from three different nations square off in a battle of 1980s trivia! (Trivia from the 1980s, not trivia about the 1980s.) Canada invented Trivial Pursuit and we’re playing from the U.S. edition, so they’ve got the upper hand. Will our UK players be confused by strange American questions? Will the very definition of geography be disputed? Yes!;The Incomparable
Game Show;41;Low Definition: Hell Is Other People's Words;01:09:59;2016-07-19;2016;July;Tuesday;Steve Lutz;"Lizbeth Myles;Antony Johnston;Chip Sudderth;Shannon Sudderth;Merlin Mann;Philip Mozolak";Low Definition;Low Definition 6;More ridiculous definitions, both real and imagined. Plus, we’ll take your orders for some disgusting mixed drinks, and ponder a Slovenian proverb.;The Incomparable
Game Show;40;Sorcerel Realism;00:58:42;2016-07-06;2016;July;Wednesday;"Dan Moren;Lex Friedman";"Steven Schapansky;Erika Ensign;Tony Sindelar;Kat Griffiths;Monty Ashley;Lizbeth Myles";Inconceivable!;Inconceivable! Episode 11;Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure.This month mash-ups of movie actors and Dungeons & Dragons classes are a critical hit, our panelists attempt to identify the critical difference between crazy sci-fi weapon names and crazy sci-fi spaceship names, and everybody’s a critic when it comes to one-star reviews of famous works of literature. Steven Schapansky, Erika Ensign, and Tony Sindelar face off against Kat Griffiths, Monty Ashley, and Liz Myles while host Dan Moren and scorekeeper Lex Friedman oversee the proceedings. ;The Incomparable
Game Show;39;Low Definition: The Amount of Pan in a Thing;01:46:43;2016-06-22;2016;June;Wednesday;Steve Lutz;"Erika Ensign;Steven Schapansky;Glenn Fleishman;Aleen Simms;Chip Sudderth;Brian Hamilton";Low Definition;Low Definition 5;We return with more made-up definitions to ridiculous words. And don’t miss the art project in the center of the room.;The Incomparable
Game Show;38;Game Night: Gospel According to Short Round;00:55:05;2016-06-08;2016;June;Wednesday;Jason Snell;"Dan Moren;Glenn Fleishman;David J. Loehr;Philip Michaels;Steve Lutz;Dan Frakes";Game Show;Trivial Pursuit 1980s Genus Edition;We’re back with another edition of trivia from the 1980s, as we play the original Trivial Pursuit and struggle with questions about geography, railroads, and famous mobsters, all the while grappling with the very definition of the word “leisure.” (Also, we’re not sure if Glenn Fleishman is very good at trivia.);The Incomparable
Game Show;37;Low Definition: This Word Sucks;01:14:55;2016-05-28;2016;May;Friday;Steve Lutz;"Philip Mozolak;Tiff Arment;David J. Loehr;Erika Ensign;Dan Moren;Jason Snell";Low Definition;Low Definition 4;Hide your kids and dictionaries! It’s time for a return to our game of made-up definitions, this time with some added Googling and romance (noveling).;The Incomparable
